Video Title: How to Build Instagram N8n Chatbot (No Code)
Channel: Musharaf Khan
URL: https://www.youtube.com/watch?v=a4E3MIDH9fE
--------------------------------------------------------------------------------


[00:00:00] हाय एवरीवन एंड वेलकम बैक टू द चैनल तो आप लोगों में से कई ऐसे लोग होंगे जो Instagram पर
[00:00:05] बिजनेस करते होंगे फिर चाहे वो कोचिंग बिजनेस हो रियलस्टेट हो या फिर कोई प्रोडक्ट सेलिंग बिज़नेस होगा और इन
[00:00:10] सब में आपको काफी डीएम्स भी आते होंगे जहां पे कोई आपको इंक्वायरी करता होगा प्रोडक्ट्स या आपके सर्विज के
[00:00:16] बारे में या फिर कोई आपसे रिकमेंडेशन लेता होगा और इन सब में टू बी वेरी ऑनेस्ट बहुत ही कम
[00:00:21] ऐसे होंगे जिस जो आपके एक्चुअल सर्विस या प्रोडक्ट को लेंगे तो इसमें क्या होता है जब भी भी आप
[00:00:26] एक बड़े इन्फ्लुएंसरर या बड़ा आप Instagram पेज बन जाते हो तो उसमें आपकी जो ऑडियंस होती है तो उसमें
[00:00:32] आपके काफी मैसेजेस आते हैं और इन सबको रिप्लाई करने में आपका टाइम एंड एफर्ट दोनों चला जाता है एंड
[00:00:38] टू बी वेरी ऑनेस्ट सबको रिप्लाई करना और सारी चीजें रिकॉर्ड करना जो कि उनके हमने चैट्स में क्या बात
[00:00:43] करी है किस बारे में बात करी है यह एक नेक्स्ट टू इंपॉसिबल है तो उनके लिए सबसे बेस्ट सशन
[00:00:48] है Instagram चैटबॉट यह कोई नॉर्मल चैट बॉट नहीं है बल्कि एक नेचुरली स्पीकिंग बॉट है जो आपके 80% पोटेंशियल
[00:00:55] क्लाइंट को क्वालीफाई करने में हेल्प करेगा और एक सेल्स एजेंट की तरह कन्वर्सेशन करेगा 24/7 तो आज हम ऐसा
[00:01:01] ही एक चैटबॉट बनाने वाले हैं फिटनेस इंडस्ट्री के एक यूज़ केस को लेके यह एक फिटनेस कोच का चैटबॉट
[00:01:07] होगा जो Instagram पे होगा और यह लोगों से वैसे ही बात करेगा जैसा एक नॉर्मल इंसान बात करता है
[00:01:12] कोई भी जो इन्हें मैसेज करेगा किसी चीज के रिगार्डिंग में तो वो उन्हें रिप्लाई करेगा और ये सारी डिटेल
[00:01:17] एक नॉलेज बेस के अंदर में होगी जहां पे हम लोग वेक्टर डेटाबेस को यूज़ करेंगे रैग वाला हम लोग
[00:01:22] एक चैटबॉट बनाएंगे वो कैसे करते हैं हम लोग आगे की वीडियो में देखेंगे उस डाटा को वह वहां से
[00:01:26] लेके इसको रिप्लाई करेगा और कोशिश करेगा कि लीड को वह क्वालीफाई कर ले और फिर वह लीड कैप्चर भी
[00:01:32] कर ले ताकि उस लीड को बाद में आपके सेल्स एजेंट या सेल्स पर्सन या फिर वो फिटनेस कोच खुद
[00:01:37] जो है उसे बाद में क्लोज कर सके आप इसी तरीके से जो रैग चैटबॉट है वो आराम से इन्फ्लुएंसर्स
[00:01:44] को या फिर कोचेस को या ऐसे बिनेसेस को आप सेल कर सकते हैं बना के और आराम से $2
[00:01:49] टू $500 में उन्हें सेल कर सकते हैं देखो जिसका जिसको बहुत ज्यादा इंक्वायरीज आती है उनके लिए यह बहुत
[00:01:55] काम की चीज है क्योंकि उन्हें उनके पास इतना टाइम नहीं है कि वो हर मैसेजेस को वो रिप्लाई कर
